ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0006520,cellular amino acid metabolic process,20/124,210/13539,3.820786709299633e-15,7.221286880576306e-12,6.696431443140935e-12,Aars/Asns/Atf4/Cars/Cth/Ddah1/Eprs/Gars/Got1/Mars1/Nars/Odc1/Phgdh/Psat1/Psph/Pycr1/Rars/Sars/Shmt2/Slc7a11,20
BP,GO:0006575,cellular modified amino acid metabolic process,13/124,153/13539,1.369390057242563e-9,1.2048089688634298e-6,1.1172413996979175e-6,Aldh1l2/Chac1/Crym/Cth/Gsta2/Gstm3/Gstm4/Mthfd1l/Mthfd2/Pla2g10/Plscr1/Shmt2/Slc7a11,13
BP,GO:0006418,tRNA aminoacylation for protein translation,8/124,39/13539,1.912395188672111e-9,1.2048089688634298e-6,1.1172413996979175e-6,Aars/Cars/Eprs/Gars/Mars1/Nars/Rars/Sars,8
BP,GO:0043039,tRNA aminoacylation,8/124,42/13539,3.585681068217387e-9,1.652514715438477e-6,1.5324071296046029e-6,Aars/Cars/Eprs/Gars/Mars1/Nars/Rars/Sars,8
BP,GO:0043038,amino acid activation,8/124,43/13539,4.371732051424542e-9,1.652514715438477e-6,1.5324071296046029e-6,Aars/Cars/Eprs/Gars/Mars1/Nars/Rars/Sars,8
BP,GO:1901605,alpha-amino acid metabolic process,12/124,143/13539,7.015609040141095e-9,1.8163755414006178e-6,1.6843582714742572e-6,Asns/Atf4/Cth/Ddah1/Got1/Odc1/Phgdh/Psat1/Psph/Pycr1/Shmt2/Slc7a11,12
BP,GO:0044283,small molecule biosynthetic process,19/124,417/13539,7.466465495029142e-9,1.8163755414006178e-6,1.6843582714742572e-6,Asns/Atf3/Atf4/Cth/Got1/Gpd2/Gstm4/Moxd1/Mthfd1l/Pck2/Phgdh/Pklr/Pla2g10/Psat1/Psph/Pycr1/Shmt2/Trib3/Ugdh,19
BP,GO:1901607,alpha-amino acid biosynthetic process,8/124,46/13539,7.688362080002615e-9,1.8163755414006178e-6,1.6843582714742572e-6,Asns/Cth/Got1/Phgdh/Psat1/Psph/Pycr1/Shmt2,8
BP,GO:0046394,carboxylic acid biosynthetic process,14/124,222/13539,1.4920429159697813e-8,2.985869132608108e-6,2.7688510753508774e-6,Asns/Cth/Got1/Gstm4/Mthfd1l/Phgdh/Pklr/Pla2g10/Psat1/Psph/Pycr1/Shmt2/Trib3/Ugdh,14
BP,GO:0016053,organic acid biosynthetic process,14/124,223/13539,1.579824937887888e-8,2.985869132608108e-6,2.7688510753508774e-6,Asns/Cth/Got1/Gstm4/Mthfd1l/Phgdh/Pklr/Pla2g10/Psat1/Psph/Pycr1/Shmt2/Trib3/Ugdh,14
BP,GO:0008652,cellular amino acid biosynthetic process,8/124,51/13539,1.8059004670302108e-8,3.102865347897362e-6,2.8773438063208627e-6,Asns/Cth/Got1/Phgdh/Psat1/Psph/Pycr1/Shmt2,8
BP,GO:0009070,serine family amino acid biosynthetic process,5/124,14/13539,1.1137233448477447e-7,1.754114268135198e-5,1.6266222536592062e-5,Cth/Phgdh/Psat1/Psph/Shmt2,5
BP,GO:0009069,serine family amino acid metabolic process,6/124,30/13539,2.592247440180476e-7,3.768728970723923e-5,3.4948113262352166e-5,Cth/Phgdh/Psat1/Psph/Shmt2/Slc7a11,6
BP,GO:0009064,glutamine family amino acid metabolic process,6/124,55/13539,1.0498652642147155e-5,0.001417318106689866,0.0013143050112161667,Asns/Ddah1/Got1/Phgdh/Pycr1/Slc7a11,6
BP,GO:0046653,tetrahydrofolate metabolic process,4/124,18/13539,1.8570711954925167e-5,0.002339909706320571,0.002169841081049151,Aldh1l2/Mthfd1l/Mthfd2/Shmt2,4
