ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0120254,olefinic compound metabolic process,44/1495,104/14945,6.55455990175941e-18,3.474572203922663e-14,3.210354444514372e-14,Adh1/Adh4/Adh6a/Adh7/Akr1c14/Akr1c21/Aldh1a1/Alox5/Bco2/Bmp2/Clcn2/Cyp17a1/Cyp1a1/Cyp2b10/Cyp2c23/Cyp2c29/Cyp2c38/Cyp2c55/Cyp2c65/Cyp2c66/Cyp2c68/Cyp2c70/Cyp2d22/Cyp2d26/Cyp2j6/Cyp2s1/Cyp4a10/Cyp4f14/Cyp4f15/Cyp4f40/Dhrs3/Dhrs4/Ephx2/Fads1/Gpx1/Lrat/Rdh11/Rdh16/Rdh16f2/Rdh9/Scp2/Srd5a1/Ttr/Wnt4,44
BP,GO:1901615,organic hydroxy compound metabolic process,98/1495,431/14945,2.995254569381734e-15,7.938922236146286e-12,7.335220795438531e-12,a/Abat/Abca2/Acer1/Acpp/Adh1/Adh4/Adh6a/Adh7/Akr1b7/Akr1c14/Akr1c21/Aldh1a1/Apoa1/Apoa2/Apoa4/Apob/Apoc3/Asah2/Avpr1b/Bmp2/Bpnt1/Cd244a/Ces1d/Ces1e/Ces1g/Clcn2/Cubn/Cyp1a1/Cyp2d22/Cyp4f14/Cyp4f15/Cyp4f40/Dao/Dhcr24/Dhcr7/Dhfr/Dhrs3/Dio1/Ebp/Ephx2/Fabp6/Fmo5/Gata3/Gcnt4/Gde1/Gfi1/Gpd1/Grin2a/Hagh/Hao2/Hsd17b6/Idh1/Inpp5b/Insig1/Insm1/Iyd/Lbr/Lipe/Lrat/Maob/Mogat2/Mttp/Npc1l1/Npy/Nr1d1/Nr5a2/Opn3/P2ry1/Pax8/Pck1/Pcsk9/Plcb3/Pmel/Pmp22/Ptafr/Rdh11/Rdh16/Rdh16f2/Rdh9/Scp2/Sec14l2/Slc16a10/Slc1a1/Slc27a2/Slc27a5/Slc37a2/Slc37a4/Slc5a5/Slc6a3/Slco4a1/Stard4/Sult1b1/Sult1d1/Sult2b1/Thrb/Ttr/Wnt4,98
BP,GO:0006631,fatty acid metabolic process,84/1495,355/14945,2.884789057616534e-14,5.097422264808415e-11,4.709797714066573e-11,Abcd1/Abhd3/Acaa2/Acad11/Acadm/Acat1/Acat2/Acot12/Acsbg1/Acsl1/Acsl6/Acsm3/Acsm5/Adh4/Adh7/Adtrp/Akr1c14/Akr1c21/Alox5/Apoa1/Apoa4/Apoc3/Asah2/Bdh2/Brca1/C1qtnf2/Ceacam1/Ces1d/Ces1e/Ces1g/Ces2e/Ces2g/Cpt1b/Cryl1/Cyp1a1/Cyp2b10/Cyp2c23/Cyp2c29/Cyp2c38/Cyp2c55/Cyp2c65/Cyp2c66/Cyp2c68/Cyp2c70/Cyp2d22/Cyp2d26/Cyp2j6/Cyp2s1/Cyp4a10/Cyp4f14/Cyp4f15/Cyp4f40/Cyp4v3/Dgat1/Echdc3/Eci3/Edn2/Ehhadh/Ephx2/Fabp2/Fads1/Fads2/Gpx1/Hadh/Hao2/Insig1/Lipe/Lipg/Lpgat1/Ltc4s/Mfsd2a/Mlxipl/Nr1h3/Pck1/Pdk2/Pdk3/Pla2g5/Ppara/Ppard/Scd2/Scp2/Slc27a2/Slc27a5/Tysnd1,84
BP,GO:0007059,chromosome segregation,72/1495,296/14945,4.919530635081055e-13,6.076928750022177e-10,5.61481934368951e-10,Aurkb/Axin2/Birc5/Brca1/Brca2/Brip1/Bub1/Bub1b/Ccnb1/Ccnb1ip1/Cdc20/Cdc6/Cdca2/Cdca8/Cenpe/Cenpf/Cenph/Cenpw/Chtf18/Cit/Dlgap5/Dscc1/Esco2/Espl1/Fam83d/Fancd2/Fbxo5/Gen1/Haspin/Hjurp/Incenp/Kif14/Kif22/Kif23/Kifc5b/Knl1/Knstrn/Kntc1/Lcmt1/Mki67/Ncapd2/Ncapd3/Ncapg/Ncaph/Ncaph2/Ndc80/Nek2/Nsl1/Nuf2/Nusap1/Plk1/Prc1/Racgap1/Rasl2-9/Rec8/Rgs14/Rmi2/Sgo1/Sgo2a/Ska1/Ska3/Spag5/Spc24/Spc25/Sun1/Syce3/Sycp3/Tacc3/Top2a/Ttk/Ube2c/Zwilch,72
BP,GO:0008202,steroid metabolic process,66/1495,260/14945,5.731870166027331e-13,6.076928750022177e-10,5.61481934368951e-10,Abca2/Adora2b/Akr1c12/Akr1c13/Akr1c14/Akr1c19/Akr1c21/Apoa1/Apoa2/Apoa4/Apob/Apoc3/Atp1a1/Bmp2/Ces1d/Ces1e/Ces1g/Clcn2/Cubn/Cyp17a1/Cyp1a1/Cyp2b10/Cyp2d22/Cyp3a11/Cyp3a25/Dhcr24/Dhcr7/Ebp/Ephx2/Fabp6/Fmo5/G6pc/Gfi1/Hsd11b2/Hsd17b11/Hsd17b14/Hsd17b6/Hsd3b2/Hsd3b3/Insig1/Lbr/Lipe/Mttp/Npc1l1/Nr1d1/Nr3c1/Nr5a2/Pcsk9/Pmp22/Rdh16/Rdh16f2/Rdh7/Rdh9/Scp2/Sec14l2/Shh/Slc27a2/Slc27a5/Slc37a4/Srd5a1/Stard4/Sult1b1/Sult2b1/Thrb/Ugt2b5/Wnt4,66
BP,GO:0001523,retinoid metabolic process,24/1495,46/14945,7.572332755659176e-13,6.690155989624882e-10,6.181414791593359e-10,Adh1/Adh4/Adh6a/Adh7/Akr1b7/Aldh1a1/Bco2/Crabp1/Cyp1a1/Cyp2c55/Cyp2j6/Cyp2s1/Dgat1/Dhrs3/Dhrs4/Isx/Lrat/Ppard/Rbp2/Rdh11/Rdh16/Rdh16f2/Rdh9/Ttr,24
BP,GO:0000819,sister chromatid segregation,50/1495,170/14945,1.0499564668542035e-12,7.594050314606142e-10,7.016574055314763e-10,Aurkb/Axin2/Birc5/Bub1/Bub1b/Ccnb1/Cdc20/Cdc6/Cdca8/Cenpe/Cit/Dscc1/Esco2/Espl1/Fbxo5/Gen1/Haspin/Incenp/Kif14/Kif22/Kif23/Kifc5b/Knstrn/Kntc1/Lcmt1/Ncapd2/Ncapd3/Ncapg/Ncaph/Ncaph2/Ndc80/Nek2/Nsl1/Nuf2/Nusap1/Plk1/Prc1/Racgap1/Rasl2-9/Rec8/Rmi2/Sgo1/Sgo2a/Spag5/Sycp3/Tacc3/Top2a/Ttk/Ube2c/Zwilch,50
BP,GO:0042445,hormone metabolic process,47/1495,154/14945,1.1460555087124907e-12,7.594050314606142e-10,7.016574055314763e-10,Ace/Adh1/Adh4/Adh6a/Adh7/Akr1c14/Akr1c21/Aldh1a1/Atp1a1/Bco2/Bmp2/Cacna1a/Clcn2/Crabp1/Cyp17a1/Cyp1a1/Cyp2c55/Cyp2d22/Cyp2s1/Dhcr7/Dhrs3/Dio1/Gata3/Gcnt4/Gfi1/Hsd17b11/Hsd3b2/Hsd3b3/Iyd/Lrat/Nr3c1/Pax8/Pcsk2/Pcsk5/Rdh11/Rdh16/Rdh16f2/Rdh9/Scp2/Shh/Slc16a10/Slc5a5/Slco4a1/Srd5a1/Sult1b1/Ttr/Wnt4,47
BP,GO:0006820,anion transport,81/1495,362/14945,2.0078993800455368e-12,1.1826527348468212e-9,1.092719978403729e-9,Abat/Abcc6/Ace/Ace2/Ano2/Ano3/Ano6/Aqp8/Arg2/Avpr1b/Cacna1a/Cacnb4/Car4/Ceacam1/Ces1d/Ces1e/Ces1g/Clca3a2/Clcn2/Clic5/Cltrn/Gabra2/Gabre/Hrh3/Kcnn4/Lrrc8b/Map2k6/Nr3c1/P2rx7/Pdzk1/Pla2g12b/Pla2g5/Ptafr/Racgap1/Ros1/Sfxn1/Sfxn2/Slc10a5/Slc12a6/Slc13a1/Slc13a2/Slc16a9/Slc1a1/Slc1a2/Slc1a3/Slc23a1/Slc25a42/Slc26a10/Slc26a2/Slc26a6/Slc2a2/Slc2a9/Slc34a2/Slc35a3/Slc35c2/Slc36a1/Slc37a2/Slc37a4/Slc43a2/Slc46a1/Slc47a1/Slc4a10/Slc4a4/Slc4a5/Slc4a7/Slc51a/Slc51b/Slc52a2/Slc5a5/Slc5a6/Slc6a20a/Slc6a7/Slc6a8/Slc7a8/Slc7a9/Slc9a3r1/Slco2b1/Slco4a1/Tnfrsf11a/Ttyh2/Ttyh3,81
BP,GO:0000070,mitotic sister chromatid segregation,45/1495,146/14945,2.3602454782696757e-12,1.2231418872888267e-9,1.1301302041431926e-9,Aurkb/Birc5/Bub1/Bub1b/Ccnb1/Cdc20/Cdc6/Cdca8/Cenpe/Cit/Dscc1/Espl1/Fbxo5/Gen1/Haspin/Incenp/Kif14/Kif22/Kif23/Kifc5b/Knstrn/Kntc1/Lcmt1/Ncapd2/Ncapd3/Ncapg/Ncaph/Ncaph2/Ndc80/Nek2/Nsl1/Nuf2/Nusap1/Plk1/Prc1/Racgap1/Rasl2-9/Rec8/Sgo1/Sgo2a/Spag5/Tacc3/Ttk/Ube2c/Zwilch,45
