ensembl,symbol,description,log2FoldChange,pvalue,padj,206221_sp_7d_tg,206220_sp_7d_tg,206222_sp_7d_tg,206218_sp_7d_tg,206333_sp_7d_tg,206334_sp_7d_tg,206346_sp_7d_wt,193373_sp_7d_wt,193377_sp_7d_wt,206219_sp_7d_wt,206332_sp_7d_wt,206217_sp_7d_wt
ENSMUSG00000073678,Pgap1,post-GPI attachment to proteins 1 [Source:MGI Symbol;Acc:MGI:2443342],3.317764347,0,0,2450,3014,2267,2498,2905,2675,295,244,240,227,233,284
ENSMUSG00000029378,Areg,amphiregulin [Source:MGI Symbol;Acc:MGI:88068],5.863491112,0,0,5510,7920,5013,4777,5975,4501,94,75,125,72,66,125
ENSMUSG00000038539,Atf5,activating transcription factor 5 [Source:MGI Symbol;Acc:MGI:2141857],3.900747577,0,0,2254,2465,2387,2216,2306,2147,144,158,154,136,146,148
ENSMUSG00000026483,Fam129a,"family with sequence similarity 129, member A [Source:MGI Symbol;Acc:MGI:2137237]",4.367718703,1.79E-236,9.64E-233,1359,1586,1099,1123,1195,1017,68,55,66,49,41,65
ENSMUSG00000041168,Lonp1,"lon peptidase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1921392]",2.835265199,9.92E-225,4.27E-221,1666,1990,1528,1425,1721,1643,240,226,199,229,209,237
ENSMUSG00000086513,9130208D14Rik,RIKEN cDNA 9130208D14 gene [Source:MGI Symbol;Acc:MGI:1924950],-5.344095898,1.13E-223,4.06E-220,38,36,22,25,38,21,1343,743,1152,1137,1291,1379
ENSMUSG00000022026,Olfm4,olfactomedin 4 [Source:MGI Symbol;Acc:MGI:2685142],-7.209390656,7.74E-216,2.38E-212,5,11,8,3,20,8,1342,914,1376,1475,1107,1640
ENSMUSG00000027737,Slc7a11,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 [Source:MGI Symbol;Acc:MGI:1347355]",9.81826986,1.97E-202,5.31E-199,3003,4859,3330,3004,3683,3745,1,2,10,5,0,5
ENSMUSG00000068739,Sars,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],2.881465544,2.19E-192,5.23E-189,3784,3869,3218,3081,3952,3657,472,418,515,449,498,446
ENSMUSG00000031173,Otc,ornithine transcarbamylase [Source:MGI Symbol;Acc:MGI:97448],-6.434350375,7.00E-191,1.51E-187,13,12,11,5,19,9,1095,599,974,909,1027,1161
ENSMUSG00000038745,Nlrp6,"NLR family, pyrin domain containing 6 [Source:MGI Symbol;Acc:MGI:2141990]",-2.963751934,8.77E-190,1.71E-186,133,142,141,123,165,114,1136,1005,916,1004,967,1095
ENSMUSG00000027820,Mme,membrane metallo endopeptidase [Source:MGI Symbol;Acc:MGI:97004],-4.454274517,2.60E-184,4.67E-181,238,148,191,146,223,191,4553,2564,4063,3602,4319,5272
ENSMUSG00000023235,Ccl25,chemokine (C-C motif) ligand 25 [Source:MGI Symbol;Acc:MGI:1099448],-2.951385968,6.60E-178,1.09E-174,499,516,395,448,532,386,3937,2265,3375,3426,3393,4410
ENSMUSG00000026456,Cyb5r1,cytochrome b5 reductase 1 [Source:MGI Symbol;Acc:MGI:1919267],3.125078899,1.22E-175,1.87E-172,1347,1421,1097,997,1253,1142,142,131,124,150,123,127
ENSMUSG00000022474,Pmm1,phosphomannomutase 1 [Source:MGI Symbol;Acc:MGI:1353418],4.006986859,1.86E-174,2.67E-171,763,903,795,554,870,776,53,39,44,45,49,49
ENSMUSG00000021125,Arg2,arginase type II [Source:MGI Symbol;Acc:MGI:1330806],-3.361523903,4.50E-167,6.06E-164,155,163,151,122,162,157,1672,1127,1346,1252,1684,1987
ENSMUSG00000030793,Pycard,PYD and CARD domain containing [Source:MGI Symbol;Acc:MGI:1931465],-2.964241593,1.75E-166,2.21E-163,132,200,177,210,254,197,1649,1244,1500,1502,1318,1548
ENSMUSG00000025408,Ddit3,DNA-damage inducible transcript 3 [Source:MGI Symbol;Acc:MGI:109247],4.045527054,5.47E-165,6.53E-162,1902,2086,1547,1098,1818,1577,119,70,90,82,110,114
ENSMUSG00000029777,Gars,glycyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2449057],2.739414356,3.13E-157,3.55E-154,1479,1617,1464,1185,1492,1472,253,191,213,175,201,225
ENSMUSG00000032715,Trib3,tribbles pseudokinase 3 [Source:MGI Symbol;Acc:MGI:1345675],4.67846122,7.96E-155,8.56E-152,1758,1953,1422,1199,1743,1516,53,36,94,38,63,77
ENSMUSG00000040134,Rdh7,retinol dehydrogenase 7 [Source:MGI Symbol;Acc:MGI:1860517],-5.787991387,9.37E-155,9.60E-152,22,11,19,10,17,19,869,494,877,856,903,1316
ENSMUSG00000031886,Ces2e,carboxylesterase 2E [Source:MGI Symbol;Acc:MGI:2443170],-2.983299489,1.42E-154,1.38E-151,372,380,298,302,343,292,2501,1895,2533,2098,2790,3374
ENSMUSG00000038178,Slc43a2,"solute carrier family 43, member 2 [Source:MGI Symbol;Acc:MGI:2442746]",-4.268229668,7.64E-154,7.15E-151,142,154,90,180,155,133,2443,1887,3321,2028,3120,2930
ENSMUSG00000031490,Eif4ebp1,eukaryotic translation initiation factor 4E binding protein 1 [Source:MGI Symbol;Acc:MGI:103267],3.370697152,7.52E-150,6.74E-147,1194,1550,995,844,1136,1128,105,92,113,100,114,108
ENSMUSG00000021831,Ero1l,ERO1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1354385],3.439928966,3.53E-148,3.04E-145,955,1251,886,780,902,886,80,86,101,60,76,97
ENSMUSG00000029752,Asns,asparagine synthetase [Source:MGI Symbol;Acc:MGI:1350929],3.143677293,2.78E-146,2.30E-143,640,734,648,605,757,694,74,84,77,78,69,59
ENSMUSG00000031972,Acta1,"actin, alpha 1, skeletal muscle [Source:MGI Symbol;Acc:MGI:87902]",4.764375561,1.12E-143,8.90E-141,625,629,569,456,515,671,17,13,26,24,15,29
ENSMUSG00000059316,Slc27a4,"solute carrier family 27 (fatty acid transporter), member 4 [Source:MGI Symbol;Acc:MGI:1347347]",-3.302308763,1.42E-138,1.09E-135,214,184,180,178,212,191,1619,1477,2177,1433,2026,2301
ENSMUSG00000032010,Usp2,ubiquitin specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1858178],-2.932850278,1.92E-136,1.42E-133,146,133,151,102,131,101,988,764,941,971,925,1052
ENSMUSG00000036814,Slc6a20a,"solute carrier family 6 (neurotransmitter transporter), member 20A [Source:MGI Symbol;Acc:MGI:2143217]",-7.008024804,1.26E-135,9.02E-133,6,8,3,8,18,12,1263,602,964,877,1370,1793
ENSMUSG00000029322,Plac8,placenta-specific 8 [Source:MGI Symbol;Acc:MGI:2445289],-3.482697164,2.35E-135,1.63E-132,857,723,1013,1155,1143,1196,12747,8959,11573,8960,10966,13060
ENSMUSG00000038508,Gdf15,growth differentiation factor 15 [Source:MGI Symbol;Acc:MGI:1346047],5.699124019,3.55E-135,2.38E-132,503,1051,574,593,854,529,8,11,11,19,10,16
ENSMUSG00000015837,Sqstm1,sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931],2.301780339,1.42E-134,9.25E-132,2336,2946,2345,2153,2610,2634,513,402,560,421,504,526
ENSMUSG00000019982,Myb,myeloblastosis oncogene [Source:MGI Symbol;Acc:MGI:97249],-4.176474831,5.52E-134,3.49E-131,14,20,21,18,18,22,416,262,300,324,293,382
ENSMUSG00000018395,Kif3a,kinesin family member 3A [Source:MGI Symbol;Acc:MGI:107689],3.538221807,1.73E-133,1.06E-130,661,833,539,460,690,545,45,48,51,47,52,64
ENSMUSG00000024883,Rin1,Ras and Rab interactor 1 [Source:MGI Symbol;Acc:MGI:2385695],5.350386075,6.02E-131,3.60E-128,393,434,392,321,454,417,5,10,11,9,8,14
ENSMUSG00000027397,Slc20a1,"solute carrier family 20, member 1 [Source:MGI Symbol;Acc:MGI:108392]",2.715111251,5.36E-130,3.12E-127,1897,3019,1974,1878,2539,2028,416,221,315,336,282,386
ENSMUSG00000030483,Cyp2b10,"cytochrome P450, family 2, subfamily b, polypeptide 10 [Source:MGI Symbol;Acc:MGI:88598]",-4.868808672,2.30E-129,1.30E-126,72,91,40,40,60,47,1286,1178,1303,1460,1995,2605
ENSMUSG00000024640,Psat1,phosphoserine aminotransferase 1 [Source:MGI Symbol;Acc:MGI:2183441],3.660151724,3.21E-129,1.77E-126,342,457,395,342,469,401,34,29,41,20,26,33
ENSMUSG00000109685,Gm45912,predicted gene 45912 [Source:MGI Symbol;Acc:MGI:5805027],-5.426747753,2.60E-128,1.40E-125,8,6,12,11,12,15,474,272,508,461,426,532
ENSMUSG00000026623,Lpgat1,lysophosphatidylglycerol acyltransferase 1 [Source:MGI Symbol;Acc:MGI:2446186],-2.551806597,1.74E-124,9.13E-122,509,492,431,503,580,512,2954,2109,3265,2324,3036,3448
ENSMUSG00000021282,Eif5,eukaryotic translation initiation factor 5 [Source:MGI Symbol;Acc:MGI:95309],1.987382846,2.05E-123,1.05E-120,5000,5140,4091,3846,4586,4211,1112,964,1212,1067,926,1250
